Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8
30,23,46,27,45,55,40,45
30,23,46,27,46,55,40,45
30,22,46,27,46,54,40,45
30,22,46,27,47,54,39,45
30,22,46,27,47,53,39,45
30,22,45,27,47,53,39,45
30,21,45,27,47,53,40,45
30,21,45,27,47,54,40,45
30,21,45,27,48,54,39,45
30,21,46,27,48,54,39,45
30,22,46,27,48,54,39,45
30,22,46,27,48,53,39,45
29,22,47,27,48,53,39,45
30,22,47,27,49,54,39,45
30,22,46,27,49,53,39,45
30,22,47,27,48,53,39,45
30,23,47,27,48,54,39,45
30,23,47,27,48,54,39,45
30,23,46,27,47,54,39,45
30,24,46,27,47,54,39,45
30,24,45,27,47,55,39,45
30,25,45,27,46,55,39,45
30,25,44,27,45,55,39,45
30,25,44,27,45,55,39,45
30,26,44,27,45,55,39,44
30,26,44,28,46,56,39,44
30,27,44,28,45,56,39,44
30,27,44,28,45,56,39,44
30,27,45,28,45,55,39,44
30,27,45,28,45,56,39,44
30,26,45,28,45,56,39,44
30,26,44,28,45,56,39,44
30,26,44,28,44,56,39,44
30,26,44,28,44,57,39,44
30,27,44,28,44,57,39,44
30,26,44,28,44,57,39,44
30,26,44,28,44,57,39,44
30,26,44,28,44,56,39,45
30,26,44,28,45,57,39,45
30,26,44,28,44,57,39,44
30,26,44,27,45,56,39,44
30,26,44,27,45,56,39,44
30,26,44,27,46,57,39,44
30,26,44,27,46,57,39,44
30,26,44,27,46,57,39,45
30,26,44,27,45,57,39,45
30,25,45,27,46,56,39,45
30,25,45,27,46,56,39,45
31,25,45,27,46,56,39,45
31,25,45,27,45,56,39,45
31,25,45,27,45,56,39,45
31,25,45,27,45,56,39,45
31,25,45,27,45,56,39,45
31,25,45,27,46,56,39,45
31,24,45,27,46,56,39,45
31,24,45,27,46,56,39,45
31,24,45,27,46,56,39,45
31,24,46,27,46,56,39,45
31,23,46,27,46,56,39,45
31,23,46,27,46,56,39,45
31,23,46,28,47,56,39,45
31,23,46,28,47,57,39,45
31,23,46,28,46,56,39,45
31,23,46,28,46,57,39,45
31,23,46,28,46,56,39,45
31,23,46,28,46,56,39,45
31,24,46,28,46,57,39,45
31,24,46,28,46,57,39,45
31,24,46,28,46,57,39,45
31,25,46,28,46,57,39,45
30,25,46,28,46,57,39,45
31,25,46,28,46,57,39,45
31,25,46,28,46,57,39,45
30,26,46,28,46,57,39,45
31,26,45,28,46,56,39,45
30,26,45,28,46,56,39,45
31,26,45,28,46,56,39,45
30,27,44,28,46,57,39,45
30,27,44,28,46,57,39,45
30,27,44,28,46,57,39,45
30,28,44,28,46,57,39,45
30,28,44,28,46,57,39,45
30,28,44,28,46,57,39,45
30,27,44,28,46,57,39,45
30,27,44,28,46,57,39,45
30,27,44,27,46,57,38,45
30,27,44,27,46,56,38,45
30,27,43,27,45,56,38,44
30,27,43,27,46,56,39,44
30,27,43,27,46,56,38,44
30,27,43,27,45,56,38,44
30,26,43,27,45,56,39,45
30,26,43,27,45,56,39,45
30,26,43,27,45,56,39,45
30,26,44,27,45,56,39,45
31,25,44,27,45,56,39,45
30,25,44,27,45,56,39,45
31,26,44,27,45,56,39,45
31,26,44,27,45,56,39,45
31,26,44,27,44,55,39,45
30,26,44,27,44,55,39,45
31,26,44,27,44,55,39,45
31,26,44,27,45,55,39,45
31,25,45,27,44,55,39,45
31,25,45,27,45,55,39,45
31,25,45,28,45,55,40,45
31,25,45,28,45,56,40,45
31,25,46,28,45,56,40,45
31,25,46,28,45,56,39,45
30,25,46,28,45,56,40,45
30,26,46,28,45,56,40,45
31,25,46,28,45,56,39,45
30,26,46,28,45,55,39,45
30,26,46,28,45,56,39,45
30,26,46,28,45,56,39,45
30,27,46,28,46,56,39,45
30,27,46,28,46,56,39,45
30,26,46,28,46,55,39,45
30,26,46,28,45,55,39,45
30,26,46,28,46,56,39,45
30,26,46,27,46,56,39,45
30,26,46,27,46,56,39,45
30,26,46,27,46,56,39,45
30,25,46,27,46,56,39,45
30,25,45,27,46,56,39,45
30,26,45,27,46,56,39,45
30,26,45,27,46,56,39,45
30,26,45,27,46,56,39,45
30,26,45,27,46,56,39,45
30,26,45,27,46,56,39,45
30,25,45,27,46,56,39,45
30,25,45,27,46,56,39,45
30,25,45,27,45,57,39,45
30,25,45,27,45,57,39,45
30,25,45,27,45,57,39,45
30,25,45,27,45,57,39,45
30,25,45,27,45,57,39,45
30,25,45,27,46,57,39,45
30,26,45,27,46,58,39,45
30,26,44,27,46,58,39,45
30,26,44,28,45,58,39,45
30,27,44,28,45,58,39,45
30,27,44,28,46,58,39,45
30,27,44,28,46,58,39,44
30,28,44,28,46,58,39,44
30,27,44,28,46,58,39,44
30,27,44,28,45,58,39,45
30,28,44,28,45,58,39,44
30,28,44,28,46,58,39,45
